OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Rovaniemi;2890;19610518;1961;5;18;3485000;7365000;5.3;8.6;0.9;1;10365;6.86;;
;;;Rovaniemi;2890;19610519;1961;5;19;3485000;7365000;5;8.4;2.2;1;13769;6.08;;
;;;Rovaniemi;2890;19610520;1961;5;20;3485000;7365000;5.3;9.8;0.3;1;16030;6.1;;
;;;Rovaniemi;2890;19610521;1961;5;21;3485000;7365000;3.2;5.9;1.1;0;12481;5.49;;
;;;Rovaniemi;2890;19610522;1961;5;22;3485000;7365000;4.1;9;-2.3;0;18795;4.68;;
;;;Rovaniemi;2890;19610523;1961;5;23;3485000;7365000;7;12.6;1.2;0;18043;5.65;;
;;;Rovaniemi;2890;19610524;1961;5;24;3485000;7365000;6.8;12.3;1.6;7;13736;7.7;;
;;;Rovaniemi;2890;19610525;1961;5;25;3485000;7365000;6;10;3.3;3;14713;7.54;;
;;;Rovaniemi;2890;19610526;1961;5;26;3485000;7365000;6.5;9.6;3.3;1;14032;6.43;;
;;;Rovaniemi;2890;19610527;1961;5;27;3485000;7365000;6.7;10.4;3.1;7;20184;6.51;;
;;;Rovaniemi;2890;19610528;1961;5;28;3485000;7365000;6.3;10;3.3;6;8769;8.83;;
;;;Rovaniemi;2890;19610529;1961;5;29;3485000;7365000;8;10.8;5.9;0;9196;8.72;;
;;;Rovaniemi;2890;19610530;1961;5;30;3485000;7365000;10.2;16;0.8;0;28164;6.36;;
;;;Rovaniemi;2890;19610531;1961;5;31;3485000;7365000;13.6;20.3;3.1;0;27396;7.99;;
;;;Rovaniemi;2890;19610601;1961;6;1;3485000;7365000;17;22.9;6.5;0;24827;8.27;;
;;;Rovaniemi;2890;19610602;1961;6;2;3485000;7365000;18.7;24.2;9.7;0;27462;8.82;;
;;;Rovaniemi;2890;19610603;1961;6;3;3485000;7365000;19.2;25.2;12.1;2;24190;11.04;;
;;;Rovaniemi;2890;19610604;1961;6;4;3485000;7365000;19.9;25.5;12;0;25951;13.16;;
;;;Rovaniemi;2890;19610605;1961;6;5;3485000;7365000;19.7;25.6;13.3;0;23770;12.69;;
;;;Rovaniemi;2890;19610606;1961;6;6;3485000;7365000;19.3;26;11.2;0;24648;12.67;;
;;;Rovaniemi;2890;19610607;1961;6;7;3485000;7365000;19.2;25.4;10.7;0;26033;12.71;;
;;;Rovaniemi;2890;19610608;1961;6;8;3485000;7365000;20.3;25.6;13.3;0;27382;11.82;;
