OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;;
;;;Mänttä-Vilppula;1069;19610510;1961;5;10;3365000;6885000;4.9;8.9;0.9;1;9488;7.65;;;
;;;Mänttä-Vilppula;1069;19610511;1961;5;11;3365000;6885000;4.8;7.4;2.6;0;8554;7.57;;;
;;;Mänttä-Vilppula;1069;19610512;1961;5;12;3365000;6885000;8.9;15.3;3.8;1;14618;8.38;;;
;;;Mänttä-Vilppula;1069;19610513;1961;5;13;3365000;6885000;6.7;10.8;3.7;0;8974;8.25;;;
;;;Mänttä-Vilppula;1069;19610514;1961;5;14;3365000;6885000;7.2;9.6;4.2;0;8908;8.41;;;
;;;Mänttä-Vilppula;1069;19610515;1961;5;15;3365000;6885000;8;11.3;3.7;0;11062;8.33;;;
;;;Mänttä-Vilppula;1069;19610516;1961;5;16;3365000;6885000;8.2;10.9;5.8;0;11478;7.99;;;
;;;Mänttä-Vilppula;1069;19610517;1961;5;17;3365000;6885000;9.3;14.4;3.7;0;25155;6.36;;;
;;;Mänttä-Vilppula;1069;19610518;1961;5;18;3365000;6885000;7.3;12.5;2;1;11926;7.78;;;
;;;Mänttä-Vilppula;1069;19610519;1961;5;19;3365000;6885000;7.9;11.6;3.5;7;11661;8.77;;;
;;;Mänttä-Vilppula;1069;19610520;1961;5;20;3365000;6885000;7.9;11;4.3;3;11600;9.28;;;
;;;Mänttä-Vilppula;1069;19610521;1961;5;21;3365000;6885000;7;10.5;4.2;0;13067;7.73;;;
;;;Mänttä-Vilppula;1069;19610522;1961;5;22;3365000;6885000;6.8;11.8;1.3;0;20403;5.74;;;
;;;Mänttä-Vilppula;1069;19610523;1961;5;23;3365000;6885000;8.9;14.5;1.1;0;17663;6.71;;;
;;;Mänttä-Vilppula;1069;19610524;1961;5;24;3365000;6885000;9.3;14;1.1;1;16474;8.35;;;
;;;Mänttä-Vilppula;1069;19610525;1961;5;25;3365000;6885000;11.5;15.5;7.4;0;23853;7.02;;;
;;;Mänttä-Vilppula;1069;19610526;1961;5;26;3365000;6885000;11.1;16.9;4.3;0;24928;6.84;;;
;;;Mänttä-Vilppula;1069;19610527;1961;5;27;3365000;6885000;11.5;17.4;3.4;0;19811;8.07;;;
;;;Mänttä-Vilppula;1069;19610528;1961;5;28;3365000;6885000;14.9;21.7;7.2;0;14982;10.88;;;
;;;Mänttä-Vilppula;1069;19610529;1961;5;29;3365000;6885000;15.3;23.5;8.2;2;19818;13.11;;;
;;;Mänttä-Vilppula;1069;19610530;1961;5;30;3365000;6885000;18.1;24.8;10.5;0;25739;13.65;;;
;;;Mänttä-Vilppula;1069;19610531;1961;5;31;3365000;6885000;20.3;26.9;12.7;0;26920;12.65;;;
;;;Mänttä-Vilppula;1069;19610601;1961;6;1;3365000;6885000;21.4;27.5;12.6;0;26292;12.73;;;
;;;Mänttä-Vilppula;1069;19610602;1961;6;2;3365000;6885000;19.3;26.2;11.9;2;24157;13.88;;;
;;;Mänttä-Vilppula;1069;19610603;1961;6;3;3365000;6885000;17.8;24.9;11.7;0;18898;14.11;;;
;;;Mänttä-Vilppula;1069;19610604;1961;6;4;3365000;6885000;19.2;26;9.7;0;26581;12.62;;;
;;;Mänttä-Vilppula;1069;19610605;1961;6;5;3365000;6885000;19.8;27.1;10.1;0;25173;13.55;;;
;;;Mänttä-Vilppula;1069;19610606;1961;6;6;3365000;6885000;19.8;26.8;11.6;6;23861;13.8;;;
;;;Mänttä-Vilppula;1069;19610607;1961;6;7;3365000;6885000;20.3;26.5;9.9;0;26988;12.77;;;
;;;Mänttä-Vilppula;1069;19610608;1961;6;8;3365000;6885000;18.8;26.7;9.7;3;24267;13.49;;;
;;;Mänttä-Vilppula;1069;19610609;1961;6;9;3365000;6885000;16.7;21;11.8;7;12571;16.58;;;
;;;Mänttä-Vilppula;1069;19610610;1961;6;10;3365000;6885000;19;24.1;14.7;0;20265;15.43;;;
;;;Mänttä-Vilppula;1069;19610611;1961;6;11;3365000;6885000;16.2;21.4;11.8;3;13439;15.53;;;
;;;Mänttä-Vilppula;1069;19610612;1961;6;12;3365000;6885000;17.1;22.8;12.1;0;14233;16.72;;;
;;;Mänttä-Vilppula;1069;19610613;1961;6;13;3365000;6885000;17.2;24;11.1;22;19191;16.98;;;
;;;Mänttä-Vilppula;1069;19610614;1961;6;14;3365000;6885000;17.2;21.6;12.8;14;15740;16.83;;;
;;;Mänttä-Vilppula;1069;19610615;1961;6;15;3365000;6885000;17.6;22;12.7;1;18486;16.11;;;
;;;Mänttä-Vilppula;1069;19610616;1961;6;16;3365000;6885000;15.5;19.3;13.3;21;10265;16.33;;;
;;;Mänttä-Vilppula;1069;19610617;1961;6;17;3365000;6885000;16.4;23;10;0;21645;14.33;;;
;;;Mänttä-Vilppula;1069;19610618;1961;6;18;3365000;6885000;14;18.3;12.1;13;10368;13.93;;;
;;;Mänttä-Vilppula;1069;19610619;1961;6;19;3365000;6885000;13.4;17.8;7.2;0;21527;10.22;;;
;;;Mänttä-Vilppula;1069;19610620;1961;6;20;3365000;6885000;12;16;7.2;0;21284;8.61;;;
;;;Mänttä-Vilppula;1069;19610621;1961;6;21;3365000;6885000;10.8;17;5.8;8;16555;10.01;;;
;;;Mänttä-Vilppula;1069;19610622;1961;6;22;3365000;6885000;11.6;17.7;6.9;2;20957;10.41;;;
;;;Mänttä-Vilppula;1069;19610623;1961;6;23;3365000;6885000;12;16.7;6.7;6;14295;11.67;;;
;;;Mänttä-Vilppula;1069;19610624;1961;6;24;3365000;6885000;12;15.7;9.9;6;12940;11.63;;;
;;;Mänttä-Vilppula;1069;19610625;1961;6;25;3365000;6885000;12;18.2;4.8;2;20322;10.72;;;
;;;Mänttä-Vilppula;1069;19610626;1961;6;26;3365000;6885000;13.5;19.1;7.7;2;22485;10.36;;;
;;;Mänttä-Vilppula;1069;19610627;1961;6;27;3365000;6885000;13.9;19.6;7.6;19;23090;10.43;;;
;;;Mänttä-Vilppula;1069;19610628;1961;6;28;3365000;6885000;14.3;18.2;11.6;0;11283;14.23;;;
;;;Mänttä-Vilppula;1069;19610629;1961;6;29;3365000;6885000;14.2;19.8;8.7;0;26793;9.61;;;
;;;Mänttä-Vilppula;1069;19610630;1961;6;30;3365000;6885000;13.2;17.4;8;0;25843;8.64;;;
;;;Mänttä-Vilppula;1069;19610701;1961;7;1;3365000;6885000;14.8;20.9;7.4;0;22261;10.2;;;
;;;Mänttä-Vilppula;1069;19610702;1961;7;2;3365000;6885000;17.2;23.6;8;0;20830;12.15;;;
;;;Mänttä-Vilppula;1069;19610703;1961;7;3;3365000;6885000;15.7;22.3;10;4;19233;13.55;;;
;;;Mänttä-Vilppula;1069;19610704;1961;7;4;3365000;6885000;13.7;17;11.1;2;13540;12.48;;;
;;;Mänttä-Vilppula;1069;19610705;1961;7;5;3365000;6885000;12.8;15.4;10.8;7;11502;13.3;;;
;;;Mänttä-Vilppula;1069;19610706;1961;7;6;3365000;6885000;14.1;18.4;10.6;0;18830;11.55;;;
;;;Mänttä-Vilppula;1069;19610707;1961;7;7;3365000;6885000;12.5;18.5;5.7;0;17407;11.47;;;
;;;Mänttä-Vilppula;1069;19610708;1961;7;8;3365000;6885000;13.8;18.9;7.8;0;21006;11.62;;;
;;;Mänttä-Vilppula;1069;19610709;1961;7;9;3365000;6885000;13.9;19.9;6.1;0;20014;11.47;;;
;;;Mänttä-Vilppula;1069;19610710;1961;7;10;3365000;6885000;15.5;21;8;0;16656;12.32;;;
;;;Mänttä-Vilppula;1069;19610711;1961;7;11;3365000;6885000;15.4;20.4;8.8;3;18486;13.88;;;
;;;Mänttä-Vilppula;1069;19610712;1961;7;12;3365000;6885000;14.5;19.2;9.9;2;18077;13.81;;;
